timestamp,connections,running_threads,cpu,memory,disk
1771681506.560351,3,2,16.2,88.7,35.3
1771681516.579836,3,2,16.1,88.6,35.3
1771681526.6002975,3,2,14.2,88.8,35.3
1771681536.616121,3,2,16.2,88.9,35.3
1771681546.6442406,3,2,21.9,89.0,35.3
1771681556.660556,3,3,14.3,89.1,35.3
1771681566.6774867,3,3,22.6,89.1,35.3
1771681576.7062936,3,3,19.6,89.0,35.3
1771681586.7253525,3,3,25.6,89.2,35.3
1771681596.7395608,3,3,19.9,89.3,35.3
1771681606.7587,3,3,23.0,89.2,35.3
1771681616.7766523,3,3,16.5,88.7,35.3
1771681626.7951279,3,3,16.2,88.3,35.3
1771681636.8166142,3,3,14.4,88.3,35.3
1771681646.839212,2,2,13.8,88.5,35.3
1771681656.8627224,2,2,8.9,88.3,35.3
1771681666.8826282,3,3,13.9,88.4,35.3
1771681676.905341,3,3,23.0,88.6,35.3
1771681686.9279785,3,3,19.5,88.5,35.3
1771681696.946489,3,3,15.5,88.2,35.3
1771681706.965682,2,3,23.2,87.9,35.3
1771681717.0008302,2,3,29.0,81.2,35.3
1771681727.0213614,2,3,19.3,74.4,35.3
1771681737.0418417,2,3,10.1,74.5,35.3
1771681747.0620263,1,2,11.2,73.7,35.3
1771681757.0826204,1,2,5.4,71.4,35.3
1771681767.1022372,1,2,5.3,71.3,35.3
1771681777.1212635,1,2,10.2,65.3,35.0
1771681787.141756,1,2,28.0,60.2,34.8
1771681797.1598158,1,2,5.5,59.9,34.8
1771681807.1813269,1,2,3.1,60.1,34.8
1771681817.2010064,1,2,2.1,59.6,34.8
1771681827.221324,1,2,5.3,60.3,34.8
1771681837.2387788,1,2,12.6,61.2,34.8
1771681847.271797,1,2,13.6,61.2,34.8
1771681857.305439,1,2,10.1,60.4,34.8
1771681867.3240323,1,2,13.2,62.5,34.8
1771681877.340912,1,2,10.1,61.7,34.8
1771681887.3616245,1,2,7.4,59.9,34.8
1771681897.3785272,1,2,4.7,59.7,34.8
1771681907.3950639,1,2,6.8,59.8,34.8
1771681917.4153583,1,2,10.3,59.6,34.8
1771681927.434848,1,2,6.9,59.8,34.8
1771681937.4566674,1,2,9.0,59.5,34.8
1771681947.4875164,1,2,6.4,59.5,34.8
1771681957.5086608,1,2,5.0,59.2,34.8
1771681967.5261967,1,2,5.4,59.3,34.8
1771681977.5486875,1,2,7.0,59.3,34.8
1771681987.570671,1,2,7.8,59.6,34.8
1771681997.5923994,1,2,4.2,59.0,34.8
1771682007.6152604,1,2,6.8,59.6,34.8
1771682017.6338706,1,2,9.8,59.9,34.8
1771682027.6536498,1,2,6.8,59.6,34.8
1771682037.6747794,1,2,7.8,59.9,34.8
1771682047.6926637,1,2,6.9,59.5,34.8
1771682057.7106478,1,2,1.8,59.3,34.8
1771682067.7262309,1,2,3.3,59.4,34.8
1771682077.7414248,1,2,2.3,59.3,34.8
1771682087.75751,1,2,1.6,58.9,34.8
1771682097.7777143,1,2,2.9,59.0,34.8
1771682107.794871,1,2,3.3,59.0,34.8
1771682117.8121789,1,2,1.9,58.9,34.8
1771682127.8332748,1,2,4.7,59.1,34.8
1771682137.8545022,1,2,2.6,59.0,34.8
1771682147.870133,1,2,1.8,58.9,34.8
1771682157.888294,1,2,4.0,58.8,34.8
1771682167.905798,1,2,2.7,58.8,34.8
1771682177.92318,1,2,1.7,58.7,34.8
1771682187.9391112,1,2,2.1,58.7,34.8
1771682197.95474,1,2,6.6,58.8,34.8
1771682207.9738724,1,2,8.6,59.2,34.8
1771682217.991914,1,2,3.2,58.9,34.8
1771682228.0067706,1,2,2.9,57.9,34.8
1771682238.025671,1,2,1.6,57.7,34.8
1771682248.0432458,1,2,1.6,57.8,34.8
1771682258.0583918,1,2,3.1,58.4,34.8
1771682268.0754921,1,2,2.2,58.4,34.8
1771682278.0917602,1,2,3.0,58.4,34.8
1771682288.112973,1,2,3.0,58.0,34.8
1771682298.131376,1,2,1.9,57.9,34.8
1771682308.1489084,1,2,2.1,57.9,34.8
1771682318.1676695,1,2,2.9,57.9,34.8
1771682328.185027,1,2,1.7,57.9,34.8
1771682338.2009058,1,2,3.6,58.1,34.8
1771682348.2211735,1,2,3.0,57.9,34.8
1771682358.236591,1,2,1.5,57.8,34.8
1771682368.2562811,1,2,1.7,57.8,34.8
1771682378.2751884,1,2,1.5,57.8,34.8
1771682388.2895002,1,2,1.8,57.9,34.8
1771682398.3082652,1,2,10.0,59.7,34.8
1771682408.3154929,1,2,3.1,59.6,34.8
1771682418.337121,1,2,0.8,59.5,34.8
1771682428.358132,1,2,3.0,58.5,34.8
1771682438.3787339,1,2,4.2,58.6,34.8
1771682448.3997335,1,2,5.5,56.1,34.8
1771682458.4211788,1,2,3.5,56.3,34.8
1771682468.4404595,1,2,4.5,56.1,34.8
1771682478.4596622,1,2,2.2,56.1,34.8
1771682488.478394,1,2,3.4,56.7,34.8
1771682498.495698,1,2,1.6,56.6,34.8
1771682508.5179148,1,2,10.3,58.1,34.8
1771682518.533336,1,2,9.1,58.1,34.8
1771682528.551918,1,2,6.9,58.6,34.8
1771682538.572598,1,2,13.5,57.1,34.8
1771682548.5919392,1,2,7.9,57.3,34.8
1771682558.6117656,1,2,6.5,57.4,34.8
1771682568.6296275,1,2,10.3,57.7,34.8
1771682578.6486244,1,2,7.4,58.1,34.8
1771682588.6660311,1,2,15.2,60.6,34.8
1771682598.6836367,1,2,14.2,60.4,34.8
1771682608.7023642,1,2,16.3,61.3,34.8
1771682618.7199714,1,2,6.7,61.8,34.8
1771682628.7405238,1,2,6.8,62.4,34.8
1771682638.7626228,1,2,10.1,63.1,34.8
1771682648.785581,1,2,9.5,63.0,34.8
1771682658.811352,1,2,8.8,60.3,34.8
1771682668.8311095,1,2,2.3,58.5,34.8
1771682678.8495815,1,2,5.6,59.6,34.8
1771682688.8677983,1,2,13.3,60.8,34.8
1771682698.8876007,1,2,9.9,60.5,34.8
1771682708.907694,1,2,5.8,59.8,34.8
1771682718.9267058,1,2,4.1,59.7,34.8
1771682728.9467018,1,2,3.6,59.5,34.8
1771682738.9649675,1,2,2.5,59.4,34.8
1771682748.9837134,1,2,4.5,59.3,34.8
1771682759.0046499,1,2,18.9,64.8,34.8
1771682769.0245254,1,2,11.0,66.3,34.8
1771682779.0465846,1,2,3.6,66.1,34.8
1771682789.067661,1,2,3.0,64.7,34.8
1771682799.0879698,1,2,8.0,63.4,34.8
1771682809.106952,1,2,6.0,64.0,34.8
1771682819.129494,1,2,10.2,64.1,34.8
1771682829.1505458,1,2,7.9,63.9,34.8
1771682839.1708562,1,2,7.6,64.1,34.8
1771682849.1913807,1,2,14.4,66.1,34.8
1771682859.2117732,1,2,11.2,65.7,34.8
1771682869.2345617,1,2,9.8,65.9,34.8
1771682879.262369,1,2,18.1,66.2,34.8
1771682889.2834904,1,2,11.4,66.4,34.8
1771682899.3047574,1,2,9.0,65.9,34.8
1771682909.3270853,1,2,8.2,65.4,34.8
1771682919.3487623,1,2,10.3,65.8,34.8
1771682929.367501,1,2,3.5,66.6,34.8
1771682939.3901243,1,2,8.9,68.3,34.8
1771682949.4105268,1,2,9.8,66.0,34.8
1771682959.4299555,1,2,9.5,65.7,34.8
1771682969.4508212,1,2,8.3,65.8,34.8
1771682979.4709535,1,2,8.7,66.0,34.8
1771682989.4910345,1,2,14.0,66.3,34.8
1771682999.5127623,1,2,10.7,65.8,34.8
1771683009.536032,1,2,8.0,65.6,34.8
1771683019.5608635,1,2,10.2,67.1,34.8
1771683029.5823467,1,2,11.6,66.2,34.8
1771683039.6065013,1,2,5.1,66.8,34.8
1771683049.625233,1,2,15.8,66.8,34.8
1771683059.6449866,1,2,13.4,65.6,34.8
1771683069.6650057,1,2,10.4,65.4,34.8
1771683079.6851416,1,2,10.6,65.4,34.8
1771683089.7031813,1,2,8.2,65.0,34.8
1771683099.7225401,1,2,9.9,66.7,34.8
1771683109.7409515,1,2,7.7,64.7,34.8
1771683119.7601082,1,2,9.2,64.8,34.8
1771683129.7770634,1,2,8.1,64.7,34.8
1771683139.7953157,1,2,11.0,65.5,34.8
1771683149.8139732,1,2,9.2,67.5,34.8
1771683159.8316574,1,2,12.6,67.9,34.8
1771683169.851925,1,2,7.1,68.0,34.8
1771683179.8709776,1,2,12.4,66.7,34.8
1771683189.8916352,1,2,6.7,66.0,34.8
